;;;;;
Ente;Candidato;Liste e Coalizioni;Voti lista;Seggi;
ITALIA (escl. Valle d'Aosta);WALTER VELTRONI ;PARTITO DEMOCRATICO;12095306;211;
ITALIA (escl. Valle d'Aosta);;DI PIETRO ITALIA DEI VALORI;1594024;28;
ITALIA (escl. Valle d'Aosta);SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';13629464;272;
ITALIA (escl. Valle d'Aosta);;LEGA NORD;3024543;60;
ITALIA (escl. Valle d'Aosta);;MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;410499;8;
ITALIA (escl. Valle d'Aosta);FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;1124298;0;
ITALIA (escl. Valle d'Aosta);PIER FERDINANDO CASINI ;UNIONE DI CENTRO;2050229;36;
ITALIA (escl. Valle d'Aosta);DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;884961;0;
ITALIA (escl. Valle d'Aosta);SERGIO RIBOLDI ;M.E.D.A.;16483;0;
ITALIA (escl. Valle d'Aosta);PIUS LEITNER ;DIE FREIHEITLICHEN;28340;0;
ITALIA (escl. Valle d'Aosta);SIEGFRIED BRUGGER ;SVP;147718;2;
ITALIA (escl. Valle d'Aosta);BUSTIANU CUMPOSTU ;SARDIGNA NATZIONE;7176;0;
ITALIA (escl. Valle d'Aosta);GIANFRANCO VESTUTO ;LEGA SUD;4399;0;
ITALIA (escl. Valle d'Aosta);ROBERTO FIORE ;FORZA NUOVA;109699;0;
ITALIA (escl. Valle d'Aosta);STEFANO DE LUCA ;P.LIBERALE ITALIANO;104053;0;
ITALIA (escl. Valle d'Aosta);GIACOMO SANNA ;PS D'AZ.;14860;0;
ITALIA (escl. Valle d'Aosta);ENRICO BOSELLI ;PARTITO SOCIALISTA;355495;0;
ITALIA (escl. Valle d'Aosta);GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO;135535;0;
ITALIA (escl. Valle d'Aosta);FLAVIA D'ANGELI ;SINISTRA CRITICA;168916;0;
ITALIA (escl. Valle d'Aosta);STEFANO MONTANARI ;PER IL BENE COMUNE;119569;0;
ITALIA (escl. Valle d'Aosta);LUIGI FERRANTE ;IL LOTO;1797;0;
ITALIA (escl. Valle d'Aosta);CARLO COVI ;L'INTESA VENETA;2388;0;
ITALIA (escl. Valle d'Aosta);FABIANA STEFANONI ;PARTITO DI ALTERNATIVA COMUNISTA;1993;0;
ITALIA (escl. Valle d'Aosta);MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;208296;0;
ITALIA (escl. Valle d'Aosta);ANDREAS POEDER ;UNION FUR SUD TIROL;12981;0;
ITALIA (escl. Valle d'Aosta);EVA ROSSI ;LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;13992;0;
ITALIA (escl. Valle d'Aosta);GIORGIO VIDO ;LG.VENETA REPUBBLICA;31353;0;
ITALIA (escl. Valle d'Aosta);ANTONIO PIARULLI ;MOVIMENTO P.P.A.;946;0;
ITALIA (escl. Valle d'Aosta);RENZO RABELLINO ;LISTA DEI GRILLI PARLANTI;66835;0;
ITALIA (escl. Valle d'Aosta);BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;91106;0;
Ente;Liste e Coalizioni;Voti;Seggi;;
CIRCOSCRIZIONE ESTERO;PARTITO DEMOCRATICO;338954;6;;
CIRCOSCRIZIONE ESTERO;IL POPOLO DELLA LIBERTA';322437;4;;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;88017;;;
CIRCOSCRIZIONE ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;86970;1;;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;64325;;;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;42149;1;;
CIRCOSCRIZIONE ESTERO;PARTITO SOCIALISTA;32513;;;
CIRCOSCRIZIONE ESTERO;LA SINISTRA L'ARCOBALENO;28495;;;
CIRCOSCRIZIONE ESTERO;LA DESTRA - FIAMMA TRICOLORE;14974;;;
CIRCOSCRIZIONE ESTERO;L' ALTRA SICILIA PER IL SUD;9251;;;
CIRCOSCRIZIONE ESTERO;SINISTRA CRITICA;6062;;;
CIRCOSCRIZIONE ESTERO;CONSUMATORI CIVICI ITALIANI;4878;;;
CIRCOSCRIZIONE ESTERO;VALORI E FUTURO;4493;;;
