
Ente;Candidato;Liste e Coalizioni;Voti lista;Seggi
ITALIA;PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;8646034;292;
ITALIA;;SINISTRA ECOLOGIA LIBERTA';1089231;37;
ITALIA;;CENTRO DEMOCRATICO;167328;6;
ITALIA;;SVP;146800;5;
ITALIA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';7332134;97;
ITALIA;;LEGA NORD;1390534;18;
ITALIA;;FRATELLI D'ITALIA;666765;9;
ITALIA;;LA DESTRA;219585;0;
ITALIA;;GRANDE SUD - MPA;148248;0;
ITALIA;;MIR - MODERATI IN RIVOLUZIONE;82557;0;
ITALIA;;PARTITO PENSIONATI;54418;0;
ITALIA;;INTESA POPOLARE;26120;0;
ITALIA;;LIBERI PER UNA ITALIA EQUA;3239;0;
ITALIA;GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8691406;108;
ITALIA;MARIO MONTI ;SCELTA CIVICA CON MONTI PER L'ITALIA;2823842;37;
ITALIA;;UNIONE DI CENTRO;608321;8;
ITALIA;;FUTURO E LIBERTA';159378;0;
ITALIA;ANTONIO INGROIA ;RIVOLUZIONE CIVILE;765189;0;
ITALIA;OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;380044;0;
ITALIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;89643;0;
ITALIA;ROBERTO FIORE ;FORZA NUOVA;90047;0;
ITALIA;GIACINTO MARCO PANNELLA ;LISTA AMNISTIA GIUSTIZIA LIBERTA';65022;0;
ITALIA;ULLI MAIR ;DIE FREIHEITLICHEN;48317;0;
ITALIA;SIMONE DI STEFANO ;CASAPOUND ITALIA;47911;0;
ITALIA;LUCA ROMAGNOLI ;FIAMMA TRICOLORE;44408;0;
ITALIA;MAGDI CRISTIANO ALLAM ;IO AMO L'ITALIA;42603;0;
ITALIA;LODOVICO PIZZATI ;INDIPENDENZA VENETA;33217;0;
ITALIA;RENATA JANNUZZI ;LIBERALI PER L'ITALIA - PLI;27964;0;
ITALIA;GIOVANNI ANGELO COLLI ;PS D'AZ.;18592;0;
ITALIA;FABRIZIO COMENCINI ;LG.VENETA REPUBBLICA;15838;0;
ITALIA;GIUSEPPE CIRILLO ;VOTO DI PROTESTA;12743;0;
ITALIA;ANTONIO GUADAGNINI ;VENETO STATO;11398;0;
ITALIA;STEFANIA GABRIELLA ANASTASIA CRAXI ;RIFORMISTI ITALIANI;8248;0;
ITALIA;PIETRO MURRU ;INDIPENDENZA PER LA SARDEGNA;7471;0;
ITALIA;FRANCO TORCHIA ;PRI;6910;0;
ITALIA;SALVATORE MELONI ;MERIS;5897;0;
ITALIA;ADRIANO LOTITO ;PARTITO DI ALTERNATIVA COMUNISTA;5196;0;
ITALIA;MARCO MARSILI ;I PIRATI;4577;0;
ITALIA;MARINA PETRINI ;MOVIMENTO PROGETTO ITALIA - MID;3957;0;
ITALIA;RAFFAELE BRUNO ;RIFONDAZIONE MISSINA ITALIANA;3091;0;
ITALIA;ANTONIO POTENZA ;POPOLARI UNITI;2992;0;
ITALIA;PIERO PUSCHIAVO ;PROGETTO NAZIONALE;2870;0;
ITALIA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1526;0;
ITALIA;MARIA DI PRATO ;UNIONE POP.;1475;0;
ITALIA;ANTONIO CORSI ;TUTTI INSIEME PER L'ITALIA;1485;0;
ITALIA;ERIKA GRACI ;STAMINALI D'ITALIA;586;0;
ITALIA;CARLA CORSETTI ;DEMOCRAZIA ATEA;598;0;
Ente;Liste e Coalizioni;Voti;Seggi
ESTERO;PARTITO DEMOCRATICO;287975;5;
ESTERO;CON MONTI PER L'ITALIA;181041;2;
ESTERO;IL POPOLO DELLA LIBERTA';145751;1;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;140868;2;
ESTERO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;95173;1;
ESTERO;USEI;43918;1;
ESTERO;ITALIANI PER LA LIBERTA';22348;0;
ESTERO;SINISTRA ECOLOGIA LIBERTA';17434;0;
ESTERO;RIVOLUZIONE CIVILE;16033;0;
ESTERO;UNIONE ITALIANI SUDAMERICA;11330;0;
ESTERO;FARE PER FERMARE IL DECLINO;10195;0;
ESTERO;PARTITO COMUNISTA;6977;0;
ESTERO;INSIEME PER GLI ITALIANI;3838;0;
